chr	name	start	end	sample	celltype	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1810030O07Rik	12654878	12675377	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	293	1	217
chrX	1810030O07Rik	12654878	12675377	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,93	342	0,96	130
chrX	1810030O07Rik	12654878	12675377	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	0,96	193	0,96	130
chrX	1810030O07Rik	12654878	12675377	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	130	0,96	130
chrX	1810030O07Rik	12654878	12675377	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	155	1	155
chrX	1810030O07Rik	12654878	12675377	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	211	1	155
chrX	1810030O07Rik	12654878	12675377	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	304	1	155
chrX	2210013O21Rik	153723553	153741296	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	1	74	1	56
chrX	2210013O21Rik	153723553	153741296	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	1	56	1	56
chrX	2210013O21Rik	153723553	153741296	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	1	88	1	56
chrX	2210013O21Rik	153723553	153741296	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	128	1	97
chrX	2210013O21Rik	153723553	153741296	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	97	1	97
chrX	2210013O21Rik	153723553	153741296	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	0,98	104	1	97
chrX	2210013O21Rik	153723553	153741296	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	67	1	62
chrX	2210013O21Rik	153723553	153741296	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	1	65	1	62
chrX	2210013O21Rik	153723553	153741296	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	1	62	1	62
chrX	2210013O21Rik	153723553	153741296	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	70	1	37
chrX	2210013O21Rik	153723553	153741296	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	61	1	37
chrX	2210013O21Rik	153723553	153741296	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	37	1	37
chrX	2210013O21Rik	153723553	153741296	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	1	96	1	93
chrX	2210013O21Rik	153723553	153741296	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	1	134	1	93
chrX	2210013O21Rik	153723553	153741296	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	93	1	93
chrX	2210013O21Rik	153723553	153741296	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	175	1	95
chrX	2210013O21Rik	153723553	153741296	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	123	1	95
chrX	2210013O21Rik	153723553	153741296	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	95	1	95
chrX	2210013O21Rik	153723553	153741296	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	43	1	43
chrX	2210013O21Rik	153723553	153741296	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	1	80	1	43
chrX	2210013O21Rik	153723553	153741296	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	1	69	1	43
chrX	2210013O21Rik	153723553	153741296	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	60	1	60
chrX	2210013O21Rik	153723553	153741296	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	68	1	60
chrX	2210013O21Rik	153723553	153741296	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	66	1	60
chrX	2610002M06Rik	107782750	107816334	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	1	113	1	113
chrX	2610002M06Rik	107782750	107816334	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	1	141	1	113
chrX	2610002M06Rik	107782750	107816334	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	0,98	169	1	113
chrX	2610002M06Rik	107782750	107816334	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	136	1	110
chrX	2610002M06Rik	107782750	107816334	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	150	1	110
chrX	2610002M06Rik	107782750	107816334	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	110	1	110
chrX	2610002M06Rik	107782750	107816334	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	1	57	1	57
chrX	2610002M06Rik	107782750	107816334	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	57	1	57
chrX	2610002M06Rik	107782750	107816334	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	1	63	1	57
chrX	2610002M06Rik	107782750	107816334	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	61	1	37
chrX	2610002M06Rik	107782750	107816334	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	37	1	37
chrX	2610002M06Rik	107782750	107816334	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	57	1	37
chrX	2610002M06Rik	107782750	107816334	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	136	1	65
chrX	2610002M06Rik	107782750	107816334	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	1	65	1	65
chrX	2610002M06Rik	107782750	107816334	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	1	137	1	65
chrX	2610002M06Rik	107782750	107816334	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	0,99	158	1	158
chrX	2610002M06Rik	107782750	107816334	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	196	1	158
chrX	2610002M06Rik	107782750	107816334	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	319	1	158
chrX	2610002M06Rik	107782750	107816334	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,98	65	1	43
chrX	2610002M06Rik	107782750	107816334	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	1	104	1	43
chrX	2610002M06Rik	107782750	107816334	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	43	1	43
chrX	2610002M06Rik	107782750	107816334	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	54	1	54
chrX	2610002M06Rik	107782750	107816334	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	130	1	54
chrX	2610002M06Rik	107782750	107816334	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	76	1	54
chrX	2810403D21Rik	108834477	108886896	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	1	10	1	10
chrX	2810403D21Rik	108834477	108886896	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	1	12	1	10
chrX	2810403D21Rik	108834477	108886896	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	1	46	1	10
chrX	2810403D21Rik	108834477	108886896	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	1	36	1	34
chrX	2810403D21Rik	108834477	108886896	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	1	36	1	34
chrX	2810403D21Rik	108834477	108886896	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	34	1	34
chrX	2810403D21Rik	108834477	108886896	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	27	1	20
chrX	2810403D21Rik	108834477	108886896	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	23	1	20
chrX	2810403D21Rik	108834477	108886896	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	20	1	20
chrX	4930578C19Rik	18414166	18461421	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	35	0,93	27
chrX	4930578C19Rik	18414166	18461421	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	0,93	27	0,93	27
chrX	4930578C19Rik	18414166	18461421	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	0,75	40	0,93	27
chrX	4930578C19Rik	18414166	18461421	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	36	1	16
chrX	4930578C19Rik	18414166	18461421	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	16	1	16
chrX	4930578C19Rik	18414166	18461421	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	48	1	16
chrX	4930578C19Rik	18414166	18461421	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	0,89	593	0,89	286
chrX	4930578C19Rik	18414166	18461421	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	0,85	439	0,89	286
chrX	4930578C19Rik	18414166	18461421	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	0,96	286	0,89	286
chrX	4930578C19Rik	18414166	18461421	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	520	1	347
chrX	4930578C19Rik	18414166	18461421	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	557	1	347
chrX	4930578C19Rik	18414166	18461421	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	347	1	347
chrX	4933407K13Rik	75725457	75764699	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,97	32	0,97	32
chrX	4933407K13Rik	75725457	75764699	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	0,96	74	0,97	32
chrX	4933407K13Rik	75725457	75764699	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	1	48	0,97	32
chrX	4933407K13Rik	75725457	75764699	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	24	1	24
chrX	4933407K13Rik	75725457	75764699	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	31	1	24
chrX	4933407K13Rik	75725457	75764699	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	89	1	24
chrX	4933407K13Rik	75725457	75764699	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	1	24	1	24
chrX	4933407K13Rik	75725457	75764699	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	30	1	24
chrX	4933407K13Rik	75725457	75764699	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	1	74	1	24
chrX	4933407K13Rik	75725457	75764699	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	103	1	28
chrX	4933407K13Rik	75725457	75764699	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	28	1	28
chrX	4933407K13Rik	75725457	75764699	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	47	1	28
chrX	4933407K13Rik	75725457	75764699	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	35	1	35
chrX	4933407K13Rik	75725457	75764699	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	1	67	1	35
chrX	4933407K13Rik	75725457	75764699	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,95	44	1	35
chrX	4933407K13Rik	75725457	75764699	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	73	1	18
chrX	4933407K13Rik	75725457	75764699	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	25	1	18
chrX	4933407K13Rik	75725457	75764699	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	18	1	18
chrX	5430427O19Rik	85776967	85891499	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	56	0,97	56
chrX	5430427O19Rik	85776967	85891499	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,97	106	0,97	56
chrX	5430427O19Rik	85776967	85891499	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	0,94	111	0,97	56
chrX	5430427O19Rik	85776967	85891499	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	131	1	87
chrX	5430427O19Rik	85776967	85891499	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	91	1	87
chrX	5430427O19Rik	85776967	85891499	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	87	1	87
chrX	5530601H04Rik	105040853	105070124	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	0,73	71	0,61	60
chrX	5530601H04Rik	105040853	105070124	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	0,61	83	0,61	60
chrX	5530601H04Rik	105040853	105070124	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,43	60	0,61	60
chrX	5530601H04Rik	105040853	105070124	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	65	1	43
chrX	5530601H04Rik	105040853	105070124	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	49	1	43
chrX	5530601H04Rik	105040853	105070124	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	43	1	43
chrX	5530601H04Rik	105040853	105070124	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	0,53	15	0,57	14
chrX	5530601H04Rik	105040853	105070124	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	0,68	19	0,57	14
chrX	5530601H04Rik	105040853	105070124	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	0,57	14	0,57	14
chrX	5530601H04Rik	105040853	105070124	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	0,76	62	0,7	62
chrX	5530601H04Rik	105040853	105070124	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	0,43	77	0,7	62
chrX	5530601H04Rik	105040853	105070124	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	0,7	87	0,7	62
chrX	5530601H04Rik	105040853	105070124	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	60	1	24
chrX	5530601H04Rik	105040853	105070124	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	24	1	24
chrX	5530601H04Rik	105040853	105070124	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	30	1	24
chrX	5530601H04Rik	105040853	105070124	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,64	61	0,72	40
chrX	5530601H04Rik	105040853	105070124	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	0,72	40	0,72	40
chrX	5530601H04Rik	105040853	105070124	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	0,79	42	0,72	40
chrX	5530601H04Rik	105040853	105070124	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	32	1	25
chrX	5530601H04Rik	105040853	105070124	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	25	1	25
chrX	5530601H04Rik	105040853	105070124	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	52	1	25
chrX	9530027J09Rik	48276791	48285426	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	0,91	78	0,88	78
chrX	9530027J09Rik	48276791	48285426	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	0,78	96	0,88	78
chrX	9530027J09Rik	48276791	48285426	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	0,88	101	0,88	78
chrX	9530027J09Rik	48276791	48285426	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	34	1	34
chrX	9530027J09Rik	48276791	48285426	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	48	1	34
chrX	9530027J09Rik	48276791	48285426	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	50	1	34
chrX	9530027J09Rik	48276791	48285426	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	0,78	59	0,78	56
chrX	9530027J09Rik	48276791	48285426	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	0,8	56	0,78	56
chrX	9530027J09Rik	48276791	48285426	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	0,78	82	0,78	56
chrX	9530027J09Rik	48276791	48285426	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	52	1	25
chrX	9530027J09Rik	48276791	48285426	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	25	1	25
chrX	9530027J09Rik	48276791	48285426	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	35	1	25
chrX	9530027J09Rik	48276791	48285426	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	0,8	66	0,95	33
chrX	9530027J09Rik	48276791	48285426	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	33	0,95	33
chrX	9530027J09Rik	48276791	48285426	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	0,95	39	0,95	33
chrX	9530027J09Rik	48276791	48285426	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	39	1	12
chrX	9530027J09Rik	48276791	48285426	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	39	1	12
chrX	9530027J09Rik	48276791	48285426	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	12	1	12
chrX	9530027J09Rik	48276791	48285426	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	0,87	123	0,87	88
chrX	9530027J09Rik	48276791	48285426	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	0,83	88	0,87	88
chrX	9530027J09Rik	48276791	48285426	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	0,91	105	0,87	88
chrX	9530027J09Rik	48276791	48285426	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	112	1	112
chrX	9530027J09Rik	48276791	48285426	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	183	1	112
chrX	9530027J09Rik	48276791	48285426	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	134	1	112
chrX	A230072C01Rik	20961675	20987349	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	1	151	1	101
chrX	A230072C01Rik	20961675	20987349	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	1	107	1	101
chrX	A230072C01Rik	20961675	20987349	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	1	101	1	101
chrX	A230072C01Rik	20961675	20987349	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	90	1	89
chrX	A230072C01Rik	20961675	20987349	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	89	1	89
chrX	A230072C01Rik	20961675	20987349	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	147	1	89
chrX	A230072C01Rik	20961675	20987349	CM_9w_RNA_XBxC_-+_XX_3	CM	female	Adult	1	165	1	160
chrX	A230072C01Rik	20961675	20987349	CM_9w_RNA_XBxC_-+_XX_1	CM	female	Adult	1	160	1	160
chrX	A230072C01Rik	20961675	20987349	CM_9w_RNA_XBxC_-+_XX_2	CM	female	Adult	1	170	1	160
chrX	A230072C01Rik	20961675	20987349	CM_9w_RNA_XBxC_+y_XY_3	CM	male	Adult	1	130	1	101
chrX	A230072C01Rik	20961675	20987349	CM_9w_RNA_XBxC_+y_XY_1	CM	male	Adult	1	101	1	101
chrX	A230072C01Rik	20961675	20987349	CM_9w_RNA_XBxC_+y_XY_2	CM	male	Adult	1	112	1	101
chrX	A230072C01Rik	20961675	20987349	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	1	92	1	92
chrX	A230072C01Rik	20961675	20987349	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	95	1	92
chrX	A230072C01Rik	20961675	20987349	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	1	102	1	92
chrX	A230072C01Rik	20961675	20987349	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	96	1	43
chrX	A230072C01Rik	20961675	20987349	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	43	1	43
chrX	A230072C01Rik	20961675	20987349	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	1	156	1	43
chrX	A230072C01Rik	20961675	20987349	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	42	1	42
chrX	A230072C01Rik	20961675	20987349	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	1	50	1	42
chrX	A230072C01Rik	20961675	20987349	MP_9w_RNA_XBxC_-+_XX_3	MP	female	Adult	1	49	1	42
chrX	A230072C01Rik	20961675	20987349	MP_9w_RNA_XBxC_+y_XY_3	MP	male	Adult	1	27	1	27
chrX	A230072C01Rik	20961675	20987349	MP_9w_RNA_XBxC_+y_XY_1	MP	male	Adult	1	32	1	27
chrX	A230072C01Rik	20961675	20987349	MP_9w_RNA_XBxC_+y_XY_2	MP	male	Adult	1	53	1	27
chrX	A630033H20Rik	107148926	107173661	CF_9w_RNA_XBxC_-+_XX_1	FB	female	Adult	1	35	1	24
chrX	A630033H20Rik	107148926	107173661	CF_9w_RNA_XBxC_-+_XX_2	FB	female	Adult	1	39	1	24
chrX	A630033H20Rik	107148926	107173661	CF_9w_RNA_XBxC_-+_XX_3	FB	female	Adult	1	24	1	24
chrX	A630033H20Rik	107148926	107173661	CF_9w_RNA_XBxC_+y_XY_1	FB	male	Adult	1	13	1	13
chrX	A630033H20Rik	107148926	107173661	CF_9w_RNA_XBxC_+y_XY_2	FB	male	Adult	1	55	1	13
chrX	A630033H20Rik	107148926	107173661	CF_9w_RNA_XBxC_+y_XY_3	FB	male	Adult	1	19	1	13
chrX	A630033H20Rik	107148926	107173661	EC_9w_RNA_XBxC_-+_XX_3	EC	female	Adult	1	54	1	54
chrX	A630033H20Rik	107148926	107173661	EC_9w_RNA_XBxC_-+_XX_2	EC	female	Adult	1	139	1	54
chrX	A630033H20Rik	107148926	107173661	EC_9w_RNA_XBxC_-+_XX_1	EC	female	Adult	1	158	1	54
chrX	A630033H20Rik	107148926	107173661	EC_9w_RNA_XBxC_+y_XY_1	EC	male	Adult	1	68	1	68
chrX	A630033H20Rik	107148926	107173661	EC_9w_RNA_XBxC_+y_XY_2	EC	male	Adult	0,99	148	1	68
chrX	A630033H20Rik	107148926	107173661	EC_9w_RNA_XBxC_+y_XY_3	EC	male	Adult	1	116	1	68
chrX	A630033H20Rik	107148926	107173661	MP_9w_RNA_XBxC_-+_XX_2	MP	female	Adult	1	24	1	24
chrX	A630033H20Rik	107148926	107173661	MP_9w_RNA_XBxC_-+_XX_1	MP	female	Adult	1	32	1	24
