chr	name	start	end	strand	sample	organ	sex	age	allelic_ratio	total_reads	median_allelic_ratio	min_total_reads
chrX	1110012L19Rik	70385912	70389416	+	Mu_78w_RNA_XistBxC_-+_XX_2	Mu	female	Aged	1	57	1	57
chrX	1110012L19Rik	70385912	70389416	+	Mu_78w_RNA_XistBxC_-+_XX_3	Mu	female	Aged	1	63	1	57
chrX	1110012L19Rik	70385912	70389416	+	Mu_78w_RNA_XistBxC_-+_XX_1	Mu	female	Aged	1	62	1	57
chrX	1110012L19Rik	70385912	70389416	+	Mu_78w_RNA_XistBxC_+y_XY_1	Mu	male	Aged	1	83	1	82
chrX	1110012L19Rik	70385912	70389416	+	Mu_78w_RNA_XistBxC_+y_XY_2	Mu	male	Aged	1	102	1	82
chrX	1110012L19Rik	70385912	70389416	+	Mu_78w_RNA_XistBxC_+y_XY_3	Mu	male	Aged	1	82	1	82
chrX	1110012L19Rik	70385912	70389416	+	Sp_78w_RNA_XistBxC_-+_XX_1	Sp	female	Aged	1	49	1	49
chrX	1110012L19Rik	70385912	70389416	+	Sp_78w_RNA_XistBxC_-+_XX_3	Sp	female	Aged	1	49	1	49
chrX	1110012L19Rik	70385912	70389416	+	Sp_78w_RNA_XistBxC_-+_XX_2	Sp	female	Aged	1	53	1	49
chrX	1110012L19Rik	70385912	70389416	+	Sp_78w_RNA_XistBxC_+y_XY_3	Sp	male	Aged	1	61	1	43
chrX	1110012L19Rik	70385912	70389416	+	Sp_78w_RNA_XistBxC_+y_XY_1	Sp	male	Aged	1	57	1	43
chrX	1110012L19Rik	70385912	70389416	+	Sp_78w_RNA_XistBxC_+y_XY_2	Sp	male	Aged	1	43	1	43
chrX	1810030O07Rik	12654878	12675377	-	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	0,95	170	0,91	100
chrX	1810030O07Rik	12654878	12675377	-	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	0,91	197	0,91	100
chrX	1810030O07Rik	12654878	12675377	-	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	0,86	100	0,91	100
chrX	1810030O07Rik	12654878	12675377	-	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	183	1	120
chrX	1810030O07Rik	12654878	12675377	-	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	120	1	120
chrX	1810030O07Rik	12654878	12675377	-	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	168	1	120
chrX	1810030O07Rik	12654878	12675377	-	He_78w_RNA_XistBxC_-+_XX_1	He	female	Aged	0,9	121	0,91	64
chrX	1810030O07Rik	12654878	12675377	-	He_78w_RNA_XistBxC_-+_XX_2	He	female	Aged	0,91	88	0,91	64
chrX	1810030O07Rik	12654878	12675377	-	He_78w_RNA_XistBxC_-+_XX_3	He	female	Aged	0,94	64	0,91	64
chrX	1810030O07Rik	12654878	12675377	-	He_78w_RNA_XistBxC_+y_XY_2	He	male	Aged	0,99	119	1	91
chrX	1810030O07Rik	12654878	12675377	-	He_78w_RNA_XistBxC_+y_XY_1	He	male	Aged	1	91	1	91
chrX	1810030O07Rik	12654878	12675377	-	He_78w_RNA_XistBxC_+y_XY_3	He	male	Aged	1	117	1	91
chrX	1810030O07Rik	12654878	12675377	-	Ki_78w_RNA_XistBxC_-+_XX_1	Ki	female	Aged	0,87	113	0,9	113
chrX	1810030O07Rik	12654878	12675377	-	Ki_78w_RNA_XistBxC_-+_XX_3	Ki	female	Aged	0,93	117	0,9	113
chrX	1810030O07Rik	12654878	12675377	-	Ki_78w_RNA_XistBxC_-+_XX_2	Ki	female	Aged	0,9	132	0,9	113
chrX	1810030O07Rik	12654878	12675377	-	Ki_78w_RNA_XistBxC_+y_XY_2	Ki	male	Aged	1	110	1	110
chrX	1810030O07Rik	12654878	12675377	-	Ki_78w_RNA_XistBxC_+y_XY_1	Ki	male	Aged	1	174	1	110
chrX	1810030O07Rik	12654878	12675377	-	Ki_78w_RNA_XistBxC_+y_XY_3	Ki	male	Aged	1	125	1	110
chrX	1810030O07Rik	12654878	12675377	-	Lu_78w_RNA_XistBxC_-+_XX_2	Lu	female	Aged	0,76	163	0,87	133
chrX	1810030O07Rik	12654878	12675377	-	Lu_78w_RNA_XistBxC_-+_XX_1	Lu	female	Aged	0,89	133	0,87	133
chrX	1810030O07Rik	12654878	12675377	-	Lu_78w_RNA_XistBxC_-+_XX_3	Lu	female	Aged	0,87	134	0,87	133
chrX	1810030O07Rik	12654878	12675377	-	Lu_78w_RNA_XistBxC_+y_XY_2	Lu	male	Aged	1	191	1	166
chrX	1810030O07Rik	12654878	12675377	-	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	243	1	166
chrX	1810030O07Rik	12654878	12675377	-	Lu_78w_RNA_XistBxC_+y_XY_1	Lu	male	Aged	0,99	166	1	166
chrX	1810030O07Rik	12654878	12675377	-	Mu_78w_RNA_XistBxC_-+_XX_1	Mu	female	Aged	0,97	61	0,96	47
chrX	1810030O07Rik	12654878	12675377	-	Mu_78w_RNA_XistBxC_-+_XX_3	Mu	female	Aged	0,96	54	0,96	47
chrX	1810030O07Rik	12654878	12675377	-	Mu_78w_RNA_XistBxC_-+_XX_2	Mu	female	Aged	0,96	47	0,96	47
chrX	1810030O07Rik	12654878	12675377	-	Mu_78w_RNA_XistBxC_+y_XY_3	Mu	male	Aged	1	66	1	66
chrX	1810030O07Rik	12654878	12675377	-	Mu_78w_RNA_XistBxC_+y_XY_2	Mu	male	Aged	1	83	1	66
chrX	1810030O07Rik	12654878	12675377	-	Mu_78w_RNA_XistBxC_+y_XY_1	Mu	male	Aged	1	72	1	66
chrX	1810030O07Rik	12654878	12675377	-	Sp_78w_RNA_XistBxC_-+_XX_1	Sp	female	Aged	0,96	198	0,96	155
chrX	1810030O07Rik	12654878	12675377	-	Sp_78w_RNA_XistBxC_-+_XX_2	Sp	female	Aged	0,98	155	0,96	155
chrX	1810030O07Rik	12654878	12675377	-	Sp_78w_RNA_XistBxC_-+_XX_3	Sp	female	Aged	0,94	222	0,96	155
chrX	1810030O07Rik	12654878	12675377	-	Sp_78w_RNA_XistBxC_+y_XY_2	Sp	male	Aged	0,99	190	0,99	142
chrX	1810030O07Rik	12654878	12675377	-	Sp_78w_RNA_XistBxC_+y_XY_3	Sp	male	Aged	0,99	142	0,99	142
chrX	1810030O07Rik	12654878	12675377	-	Sp_78w_RNA_XistBxC_+y_XY_1	Sp	male	Aged	1	181	0,99	142
chrX	2210013O21Rik	153723553	153741296	+	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	1	161	1	109
chrX	2210013O21Rik	153723553	153741296	+	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	1	109	1	109
chrX	2210013O21Rik	153723553	153741296	+	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	1	222	1	109
chrX	2210013O21Rik	153723553	153741296	+	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	184	1	163
chrX	2210013O21Rik	153723553	153741296	+	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	188	1	163
chrX	2210013O21Rik	153723553	153741296	+	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	163	1	163
chrX	2210013O21Rik	153723553	153741296	+	He_78w_RNA_XistBxC_-+_XX_2	He	female	Aged	0,88	52	0,89	36
chrX	2210013O21Rik	153723553	153741296	+	He_78w_RNA_XistBxC_-+_XX_3	He	female	Aged	0,89	36	0,89	36
chrX	2210013O21Rik	153723553	153741296	+	He_78w_RNA_XistBxC_-+_XX_1	He	female	Aged	0,96	72	0,89	36
chrX	2210013O21Rik	153723553	153741296	+	He_78w_RNA_XistBxC_+y_XY_2	He	male	Aged	1	66	1	66
chrX	2210013O21Rik	153723553	153741296	+	He_78w_RNA_XistBxC_+y_XY_3	He	male	Aged	1	71	1	66
chrX	2210013O21Rik	153723553	153741296	+	He_78w_RNA_XistBxC_+y_XY_1	He	male	Aged	1	84	1	66
chrX	2210013O21Rik	153723553	153741296	+	Ki_78w_RNA_XistBxC_-+_XX_2	Ki	female	Aged	1	66	1	66
chrX	2210013O21Rik	153723553	153741296	+	Ki_78w_RNA_XistBxC_-+_XX_3	Ki	female	Aged	0,97	67	1	66
chrX	2210013O21Rik	153723553	153741296	+	Ki_78w_RNA_XistBxC_-+_XX_1	Ki	female	Aged	1	77	1	66
chrX	2210013O21Rik	153723553	153741296	+	Ki_78w_RNA_XistBxC_+y_XY_2	Ki	male	Aged	1	61	1	61
chrX	2210013O21Rik	153723553	153741296	+	Ki_78w_RNA_XistBxC_+y_XY_1	Ki	male	Aged	1	122	1	61
chrX	2210013O21Rik	153723553	153741296	+	Ki_78w_RNA_XistBxC_+y_XY_3	Ki	male	Aged	1	84	1	61
chrX	2210013O21Rik	153723553	153741296	+	Lu_78w_RNA_XistBxC_-+_XX_1	Lu	female	Aged	0,98	90	0,98	90
chrX	2210013O21Rik	153723553	153741296	+	Lu_78w_RNA_XistBxC_-+_XX_2	Lu	female	Aged	0,98	121	0,98	90
chrX	2210013O21Rik	153723553	153741296	+	Lu_78w_RNA_XistBxC_-+_XX_3	Lu	female	Aged	0,98	101	0,98	90
chrX	2210013O21Rik	153723553	153741296	+	Lu_78w_RNA_XistBxC_+y_XY_2	Lu	male	Aged	1	148	1	148
chrX	2210013O21Rik	153723553	153741296	+	Lu_78w_RNA_XistBxC_+y_XY_1	Lu	male	Aged	1	155	1	148
chrX	2210013O21Rik	153723553	153741296	+	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	162	1	148
chrX	2210013O21Rik	153723553	153741296	+	Mu_78w_RNA_XistBxC_-+_XX_1	Mu	female	Aged	1	52	1	30
chrX	2210013O21Rik	153723553	153741296	+	Mu_78w_RNA_XistBxC_-+_XX_2	Mu	female	Aged	1	37	1	30
chrX	2210013O21Rik	153723553	153741296	+	Mu_78w_RNA_XistBxC_-+_XX_3	Mu	female	Aged	1	30	1	30
chrX	2210013O21Rik	153723553	153741296	+	Mu_78w_RNA_XistBxC_+y_XY_2	Mu	male	Aged	1	37	1	28
chrX	2210013O21Rik	153723553	153741296	+	Mu_78w_RNA_XistBxC_+y_XY_3	Mu	male	Aged	1	28	1	28
chrX	2210013O21Rik	153723553	153741296	+	Mu_78w_RNA_XistBxC_+y_XY_1	Mu	male	Aged	1	56	1	28
chrX	2210013O21Rik	153723553	153741296	+	Sp_78w_RNA_XistBxC_-+_XX_3	Sp	female	Aged	0,99	80	0,98	62
chrX	2210013O21Rik	153723553	153741296	+	Sp_78w_RNA_XistBxC_-+_XX_2	Sp	female	Aged	0,97	63	0,98	62
chrX	2210013O21Rik	153723553	153741296	+	Sp_78w_RNA_XistBxC_-+_XX_1	Sp	female	Aged	0,98	62	0,98	62
chrX	2210013O21Rik	153723553	153741296	+	Sp_78w_RNA_XistBxC_+y_XY_1	Sp	male	Aged	1	92	1	78
chrX	2210013O21Rik	153723553	153741296	+	Sp_78w_RNA_XistBxC_+y_XY_3	Sp	male	Aged	1	104	1	78
chrX	2210013O21Rik	153723553	153741296	+	Sp_78w_RNA_XistBxC_+y_XY_2	Sp	male	Aged	1	78	1	78
chrX	2610002M06Rik	107782750	107816334	-	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	1	394	1	349
chrX	2610002M06Rik	107782750	107816334	-	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	1	349	1	349
chrX	2610002M06Rik	107782750	107816334	-	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	1	580	1	349
chrX	2610002M06Rik	107782750	107816334	-	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	486	1	422
chrX	2610002M06Rik	107782750	107816334	-	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	506	1	422
chrX	2610002M06Rik	107782750	107816334	-	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	422	1	422
chrX	2610002M06Rik	107782750	107816334	-	He_78w_RNA_XistBxC_-+_XX_2	He	female	Aged	1	53	1	44
chrX	2610002M06Rik	107782750	107816334	-	He_78w_RNA_XistBxC_-+_XX_1	He	female	Aged	1	118	1	44
chrX	2610002M06Rik	107782750	107816334	-	He_78w_RNA_XistBxC_-+_XX_3	He	female	Aged	1	44	1	44
chrX	2610002M06Rik	107782750	107816334	-	He_78w_RNA_XistBxC_+y_XY_3	He	male	Aged	1	106	1	87
chrX	2610002M06Rik	107782750	107816334	-	He_78w_RNA_XistBxC_+y_XY_2	He	male	Aged	1	116	1	87
chrX	2610002M06Rik	107782750	107816334	-	He_78w_RNA_XistBxC_+y_XY_1	He	male	Aged	1	87	1	87
chrX	2610002M06Rik	107782750	107816334	-	Ki_78w_RNA_XistBxC_-+_XX_1	Ki	female	Aged	1	117	1	94
chrX	2610002M06Rik	107782750	107816334	-	Ki_78w_RNA_XistBxC_-+_XX_2	Ki	female	Aged	1	94	1	94
chrX	2610002M06Rik	107782750	107816334	-	Ki_78w_RNA_XistBxC_-+_XX_3	Ki	female	Aged	1	98	1	94
chrX	2610002M06Rik	107782750	107816334	-	Ki_78w_RNA_XistBxC_+y_XY_1	Ki	male	Aged	1	204	1	131
chrX	2610002M06Rik	107782750	107816334	-	Ki_78w_RNA_XistBxC_+y_XY_3	Ki	male	Aged	1	131	1	131
chrX	2610002M06Rik	107782750	107816334	-	Ki_78w_RNA_XistBxC_+y_XY_2	Ki	male	Aged	1	143	1	131
chrX	2610002M06Rik	107782750	107816334	-	Li_78w_RNA_XistBxC_-+_XX_1	Li	female	Aged	1	69	1	66
chrX	2610002M06Rik	107782750	107816334	-	Li_78w_RNA_XistBxC_-+_XX_2	Li	female	Aged	1	76	1	66
chrX	2610002M06Rik	107782750	107816334	-	Li_78w_RNA_XistBxC_-+_XX_3	Li	female	Aged	1	66	1	66
chrX	2610002M06Rik	107782750	107816334	-	Li_78w_RNA_XistBxC_+y_XY_2	Li	male	Aged	1	170	1	102
chrX	2610002M06Rik	107782750	107816334	-	Li_78w_RNA_XistBxC_+y_XY_3	Li	male	Aged	1	102	1	102
chrX	2610002M06Rik	107782750	107816334	-	Li_78w_RNA_XistBxC_+y_XY_1	Li	male	Aged	1	126	1	102
chrX	2610002M06Rik	107782750	107816334	-	Lu_78w_RNA_XistBxC_-+_XX_3	Lu	female	Aged	1	109	1	109
chrX	2610002M06Rik	107782750	107816334	-	Lu_78w_RNA_XistBxC_-+_XX_2	Lu	female	Aged	0,99	122	1	109
chrX	2610002M06Rik	107782750	107816334	-	Lu_78w_RNA_XistBxC_-+_XX_1	Lu	female	Aged	1	116	1	109
chrX	2610002M06Rik	107782750	107816334	-	Lu_78w_RNA_XistBxC_+y_XY_2	Lu	male	Aged	1	192	1	165
chrX	2610002M06Rik	107782750	107816334	-	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	212	1	165
chrX	2610002M06Rik	107782750	107816334	-	Lu_78w_RNA_XistBxC_+y_XY_1	Lu	male	Aged	1	165	1	165
chrX	2610002M06Rik	107782750	107816334	-	Mu_78w_RNA_XistBxC_-+_XX_2	Mu	female	Aged	1	84	1	84
chrX	2610002M06Rik	107782750	107816334	-	Mu_78w_RNA_XistBxC_-+_XX_1	Mu	female	Aged	1	120	1	84
chrX	2610002M06Rik	107782750	107816334	-	Mu_78w_RNA_XistBxC_-+_XX_3	Mu	female	Aged	1	88	1	84
chrX	2610002M06Rik	107782750	107816334	-	Mu_78w_RNA_XistBxC_+y_XY_1	Mu	male	Aged	1	104	1	86
chrX	2610002M06Rik	107782750	107816334	-	Mu_78w_RNA_XistBxC_+y_XY_2	Mu	male	Aged	1	96	1	86
chrX	2610002M06Rik	107782750	107816334	-	Mu_78w_RNA_XistBxC_+y_XY_3	Mu	male	Aged	1	86	1	86
chrX	2610002M06Rik	107782750	107816334	-	Sp_78w_RNA_XistBxC_-+_XX_3	Sp	female	Aged	1	109	1	109
chrX	2610002M06Rik	107782750	107816334	-	Sp_78w_RNA_XistBxC_-+_XX_2	Sp	female	Aged	1	132	1	109
chrX	2610002M06Rik	107782750	107816334	-	Sp_78w_RNA_XistBxC_-+_XX_1	Sp	female	Aged	0,99	137	1	109
chrX	2610002M06Rik	107782750	107816334	-	Sp_78w_RNA_XistBxC_+y_XY_2	Sp	male	Aged	1	101	1	101
chrX	2610002M06Rik	107782750	107816334	-	Sp_78w_RNA_XistBxC_+y_XY_3	Sp	male	Aged	1	145	1	101
chrX	2610002M06Rik	107782750	107816334	-	Sp_78w_RNA_XistBxC_+y_XY_1	Sp	male	Aged	1	142	1	101
chrX	2810403D21Rik	108834477	108886896	+	Lu_78w_RNA_XistBxC_+y_XY_2	Lu	male	Aged	1	20	1	20
chrX	2810403D21Rik	108834477	108886896	+	Lu_78w_RNA_XistBxC_+y_XY_1	Lu	male	Aged	1	20	1	20
chrX	2810403D21Rik	108834477	108886896	+	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	20	1	20
chrX	3010001F23Rik	152368571	152416702	+	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	23	1	23
chrX	3010001F23Rik	152368571	152416702	+	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	0,97	31	1	23
chrX	3010001F23Rik	152368571	152416702	+	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	25	1	23
chrX	3632454L22Rik	135022409	135060336	-	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	1	43	1	43
chrX	3632454L22Rik	135022409	135060336	-	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	1	61	1	43
chrX	3632454L22Rik	135022409	135060336	-	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	1	70	1	43
chrX	3632454L22Rik	135022409	135060336	-	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	56	1	47
chrX	3632454L22Rik	135022409	135060336	-	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	47	1	47
chrX	3632454L22Rik	135022409	135060336	-	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	59	1	47
chrX	4930519F16Rik	103182990	103256632	-	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	1	257	1	148
chrX	4930519F16Rik	103182990	103256632	-	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	0,99	182	1	148
chrX	4930519F16Rik	103182990	103256632	-	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	1	148	1	148
chrX	4930519F16Rik	103182990	103256632	-	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	216	1	208
chrX	4930519F16Rik	103182990	103256632	-	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	208	1	208
chrX	4930519F16Rik	103182990	103256632	-	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	224	1	208
chrX	4930578C19Rik	18414166	18461421	-	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	31	1	21
chrX	4930578C19Rik	18414166	18461421	-	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	21	1	21
chrX	4930578C19Rik	18414166	18461421	-	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	24	1	21
chrX	4930578C19Rik	18414166	18461421	-	He_78w_RNA_XistBxC_-+_XX_3	He	female	Aged	0,61	123	0,68	123
chrX	4930578C19Rik	18414166	18461421	-	He_78w_RNA_XistBxC_-+_XX_2	He	female	Aged	0,68	197	0,68	123
chrX	4930578C19Rik	18414166	18461421	-	He_78w_RNA_XistBxC_-+_XX_1	He	female	Aged	0,71	275	0,68	123
chrX	4930578C19Rik	18414166	18461421	-	He_78w_RNA_XistBxC_+y_XY_1	He	male	Aged	1	128	1	128
chrX	4930578C19Rik	18414166	18461421	-	He_78w_RNA_XistBxC_+y_XY_3	He	male	Aged	1	188	1	128
chrX	4930578C19Rik	18414166	18461421	-	He_78w_RNA_XistBxC_+y_XY_2	He	male	Aged	1	210	1	128
chrX	4930578C19Rik	18414166	18461421	-	Ki_78w_RNA_XistBxC_-+_XX_3	Ki	female	Aged	0,96	27	1	21
chrX	4930578C19Rik	18414166	18461421	-	Ki_78w_RNA_XistBxC_-+_XX_1	Ki	female	Aged	1	21	1	21
chrX	4930578C19Rik	18414166	18461421	-	Ki_78w_RNA_XistBxC_-+_XX_2	Ki	female	Aged	1	23	1	21
chrX	4930578C19Rik	18414166	18461421	-	Lu_78w_RNA_XistBxC_-+_XX_2	Lu	female	Aged	0,99	88	0,99	77
chrX	4930578C19Rik	18414166	18461421	-	Lu_78w_RNA_XistBxC_-+_XX_1	Lu	female	Aged	0,98	105	0,99	77
chrX	4930578C19Rik	18414166	18461421	-	Lu_78w_RNA_XistBxC_-+_XX_3	Lu	female	Aged	1	77	0,99	77
chrX	4930578C19Rik	18414166	18461421	-	Lu_78w_RNA_XistBxC_+y_XY_2	Lu	male	Aged	0,99	153	1	54
chrX	4930578C19Rik	18414166	18461421	-	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	106	1	54
chrX	4930578C19Rik	18414166	18461421	-	Lu_78w_RNA_XistBxC_+y_XY_1	Lu	male	Aged	1	54	1	54
chrX	4930578C19Rik	18414166	18461421	-	Mu_78w_RNA_XistBxC_-+_XX_1	Mu	female	Aged	0,66	65	0,65	65
chrX	4930578C19Rik	18414166	18461421	-	Mu_78w_RNA_XistBxC_-+_XX_3	Mu	female	Aged	0,59	82	0,65	65
chrX	4930578C19Rik	18414166	18461421	-	Mu_78w_RNA_XistBxC_-+_XX_2	Mu	female	Aged	0,65	65	0,65	65
chrX	4930578C19Rik	18414166	18461421	-	Mu_78w_RNA_XistBxC_+y_XY_1	Mu	male	Aged	1	72	1	52
chrX	4930578C19Rik	18414166	18461421	-	Mu_78w_RNA_XistBxC_+y_XY_2	Mu	male	Aged	1	55	1	52
chrX	4930578C19Rik	18414166	18461421	-	Mu_78w_RNA_XistBxC_+y_XY_3	Mu	male	Aged	1	52	1	52
chrX	4933407K13Rik	75725457	75764699	-	Br_78w_RNA_XistBxC_-+_XX_1	Br	female	Aged	1	52	1	24
chrX	4933407K13Rik	75725457	75764699	-	Br_78w_RNA_XistBxC_-+_XX_3	Br	female	Aged	0,96	51	1	24
chrX	4933407K13Rik	75725457	75764699	-	Br_78w_RNA_XistBxC_-+_XX_2	Br	female	Aged	1	24	1	24
chrX	4933407K13Rik	75725457	75764699	-	Br_78w_RNA_XistBxC_+y_XY_1	Br	male	Aged	1	44	1	44
chrX	4933407K13Rik	75725457	75764699	-	Br_78w_RNA_XistBxC_+y_XY_2	Br	male	Aged	1	58	1	44
chrX	4933407K13Rik	75725457	75764699	-	Br_78w_RNA_XistBxC_+y_XY_3	Br	male	Aged	1	48	1	44
chrX	4933407K13Rik	75725457	75764699	-	Ki_78w_RNA_XistBxC_+y_XY_2	Ki	male	Aged	1	33	1	27
chrX	4933407K13Rik	75725457	75764699	-	Ki_78w_RNA_XistBxC_+y_XY_3	Ki	male	Aged	1	27	1	27
chrX	4933407K13Rik	75725457	75764699	-	Ki_78w_RNA_XistBxC_+y_XY_1	Ki	male	Aged	1	46	1	27
chrX	4933407K13Rik	75725457	75764699	-	Lu_78w_RNA_XistBxC_-+_XX_2	Lu	female	Aged	1	39	1	30
chrX	4933407K13Rik	75725457	75764699	-	Lu_78w_RNA_XistBxC_-+_XX_3	Lu	female	Aged	1	30	1	30
chrX	4933407K13Rik	75725457	75764699	-	Lu_78w_RNA_XistBxC_-+_XX_1	Lu	female	Aged	1	49	1	30
chrX	4933407K13Rik	75725457	75764699	-	Lu_78w_RNA_XistBxC_+y_XY_3	Lu	male	Aged	1	68	1	37
